Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PolicyCreation,Chrome 73.0.3683.86,,2019-04-05 17:36:25,2019-04-05 17:39:11,2m - 46.082s,FAILED
,,,,,,
Test Cases/TC01-LoginApplication,Chrome 73.0.3683.86,,2019-04-05 17:36:33,2019-04-05 17:36:45,11.457s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-05 17:36:33,2019-04-05 17:36:33,0.003s,NOT_RUN
"navigateToUrl(""https://dev.offshoresoftwaresolutions.net/markit_coreV2/Sites/CoreTest/login/admin_display"")",Chrome 73.0.3683.86,,2019-04-05 17:36:33,2019-04-05 17:36:33,0.002s,NOT_RUN
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_username""), ""dDasTester"")",Chrome 73.0.3683.86,,2019-04-05 17:36:33,2019-04-05 17:36:34,0.239s,PASSED
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_password""), ""Czybm6R*"")",Chrome 73.0.3683.86,,2019-04-05 17:36:34,2019-04-05 17:36:34,0.144s,PASSED
"delay(4, STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-05 17:36:34,2019-04-05 17:36:38,4.022s,PASSED
maximizeWindow(),Chrome 73.0.3683.86,,2019-04-05 17:36:38,2019-04-05 17:36:38,0.002s,NOT_RUN
"click(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/button_Login""))",Chrome 73.0.3683.86,,2019-04-05 17:36:38,2019-04-05 17:36:45,6.859s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 73.0.3683.86,,2019-04-05 17:36:45,2019-04-05 17:36:45,0.001s,NOT_RUN
log.logInfo(“Dipak”),Chrome 73.0.3683.86,,2019-04-05 17:36:45,2019-04-05 17:36:45,0.001s,NOT_RUN
,,,,,,
