Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PolicyCreation,Chrome 73.0.3683.86,,2019-04-08 13:17:12,2019-04-08 13:19:01,1m - 49.269s,PASSED
,,,,,,
Test Cases/TC01-LoginApplication,Chrome 73.0.3683.86,,2019-04-08 13:17:22,2019-04-08 13:17:33,10.605s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-08 13:17:23,2019-04-08 13:17:23,0.005s,NOT_RUN
"navigateToUrl(""https://dev.offshoresoftwaresolutions.net/markit_coreV2/Sites/CoreTest/login/admin_display"")",Chrome 73.0.3683.86,,2019-04-08 13:17:23,2019-04-08 13:17:23,0.001s,NOT_RUN
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_username""), ""dDasTester"")",Chrome 73.0.3683.86,,2019-04-08 13:17:23,2019-04-08 13:17:23,0.239s,PASSED
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_password""), ""Czybm6R*"")",Chrome 73.0.3683.86,,2019-04-08 13:17:23,2019-04-08 13:17:23,0.136s,PASSED
"delay(4, STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-08 13:17:23,2019-04-08 13:17:27,4.020s,PASSED
maximizeWindow(),Chrome 73.0.3683.86,,2019-04-08 13:17:27,2019-04-08 13:17:27,0.000s,NOT_RUN
"click(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/button_Login""))",Chrome 73.0.3683.86,,2019-04-08 13:17:27,2019-04-08 13:17:33,5.999s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 73.0.3683.86,,2019-04-08 13:17:33,2019-04-08 13:17:33,0.001s,NOT_RUN
log.logInfo(“Dipak”),Chrome 73.0.3683.86,,2019-04-08 13:17:33,2019-04-08 13:17:33,0.001s,NOT_RUN
,,,,,,
Test Cases/TC03-MTA,Chrome 73.0.3683.86,,2019-04-08 13:17:33,2019-04-08 13:19:00,1m - 27.304s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 73.0.3683.86,,2019-04-08 13:17:33,2019-04-08 13:17:33,0.000s,PASSED
waitForJQueryLoad(5),Chrome 73.0.3683.86,,2019-04-08 13:17:33,2019-04-08 13:17:33,0.083s,PASSED
"click(findTestObject(""TC03-MTA/PolicyRecord""))",Chrome 73.0.3683.86,,2019-04-08 13:17:33,2019-04-08 13:17:35,1.516s,PASSED
waitForJQueryLoad(5),Chrome 73.0.3683.86,,2019-04-08 13:17:35,2019-04-08 13:17:37,1.715s,PASSED
"setText(findTestObject(""TC03-MTA/SearchFields""), PolicyNo_Global)",Chrome 73.0.3683.86,,2019-04-08 13:17:37,2019-04-08 13:17:37,0.001s,NOT_RUN
"setText(findTestObject(""TC03-MTA/SearchFields""), ""DASD/POLICY/002667"")",Chrome 73.0.3683.86,,2019-04-08 13:17:37,2019-04-08 13:17:37,0.260s,PASSED
"delay(4, STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-08 13:17:37,2019-04-08 13:17:41,4.005s,PASSED
